time Ha FUV NUV u V J W3 UV+IR
0.001 0.10087074476930045 0.08967318576954386 0.06336459587017454 0.06427472310526834 0.032925510472008285 0.013362380329622791 0.26282417017157844 0.09367670915923502
0.002 0.11073505560102771 0.1004090477956102 0.07116916032479556 0.07097857732135263 0.03452065625710673 0.014380354196690393 0.2857155166442518 0.10394240114143899
0.003 0.11288656178242094 0.10638570289094258 0.07939847962796144 0.07439930427287411 0.03132386827420661 0.014622405259686793 0.2755847488987887 0.11017670874622952
0.004 0.09088779095976333 0.09943873744079214 0.08718293462474166 0.07387113486230219 0.040787520281156356 0.016021850519310273 0.11406048775065768 0.09197594033338767
0.005 0.05457184535301351 0.06644692195127093 0.058891778074672246 0.04921665774587128 0.03270576581698266 0.016238718244219883 0.03333579976351441 0.05764276331247975
0.006 0.038632108964210654 0.04580541889806288 0.03951495138718831 0.03673692400970721 0.03401401142447871 0.021016771545134767 0.014262689672198658 0.040677182013874776
0.007 0.027842218488945643 0.033756295308518494 0.02633260435502438 0.020406482079017917 0.02400570064946858 0.02796342927181996 0.0062609273357607685 0.02926424950126898
0.008 0.022214951475847275 0.02751269450273922 0.022891670839509593 0.017643086220358883 0.01581773420347622 0.022755578084570308 0.0030296012507303417 0.023308966591647533
0.009000000000000001 0.01817719964449115 0.022689131211066166 0.01905942460226002 0.014228989058201203 0.010160489697049585 0.020129002712284762 0.0016643741547180777 0.01879261654189563
0.01 0.015057968405955816 0.01912572120094958 0.015955419725953986 0.010875272747291642 0.007277919762515308 0.01912640793337355 0.0009635436612882996 0.01560144892015511
0.011 0.013036647480657068 0.016503415703630397 0.013997098019782876 0.009506386421112857 0.006597349967642713 0.017651926565948786 0.0006682545086421496 0.013495993153745537
0.012 0.011359851265494844 0.014483471486932974 0.012441034617373723 0.008214621146821116 0.005302835881517988 0.016039252070980545 0.0004912678762429445 0.011811280322817084
0.013000000000000001 0.009988381928322352 0.012851107344411236 0.011202139081553722 0.007224947641505226 0.0043469293875365795 0.014340838530741796 0.0003520638123492782 0.010447102950401858
0.014 0.008891822105086144 0.011511626405690206 0.010234346079673362 0.006599024889177863 0.0040391789201785315 0.01257127394638494 0.00022108581841717264 0.009351600978660708
0.015 0.00812221705812856 0.01047373143990223 0.009488807637565955 0.006485318097803163 0.005151009079662406 0.010141070673927064 0.00015874557447838656 0.008605067431739027
0.016 0.00745047694666475 0.009555267881418743 0.008833111536908791 0.006443473414386855 0.006178585038224123 0.007933475260136538 0.00011245042329053584 0.007949388138964295
0.017 0.006891955427910756 0.008820011186046832 0.008326902815314206 0.006400964479251491 0.006017689966938101 0.006810298232831142 8.938823912040886e-05 0.007359143020100261
0.018000000000000002 0.006355182957587008 0.008163126659359322 0.007836568360608408 0.006193697120003768 0.0056103859115088734 0.005971601333836422 6.952244709728929e-05 0.006792131727924162
0.019 0.005811717245736632 0.007669211352894489 0.007326914078593885 0.005411210670385937 0.00432854328135961 0.005950850728614744 5.7317601408380385e-05 0.006218908494138292
0.02 0.005305913473124723 0.007203044326066656 0.00684975847687429 0.004694022836153333 0.0031714257154962047 0.005920306455118367 4.532104496783415e-05 0.005685303439783104
0.021 0.005016673928409954 0.006806871492489553 0.006520497241460874 0.004505362184489404 0.0032276300839863066 0.005678202178996001 2.5710648991634006e-05 0.005378047065860337
0.022 0.004740892357033488 0.006429132111491991 0.0062065561412382175 0.004325479689431196 0.003281219329798811 0.005447362728008022 7.012701506742644e-06 0.005085086966993402
0.023 0.0045129541276705196 0.006097720872145956 0.005946878496416334 0.004253729465873994 0.0033880588375864115 0.005118229131487271 0.0 0.004841777591704709
0.024 0.004316729393865986 0.005798686216692993 0.005723187349638942 0.004246976270469794 0.0035247647568450217 0.004735952643490362 0.0 0.004631481592006433
0.025 0.0041285161048712615 0.00551186051977421 0.005508629043773597 0.004240498793886678 0.0036558892598056413 0.00436928370366697 0.0 0.004429771537426513
0.026000000000000002 0.003958362317251464 0.0052842898307396005 0.005343006566116242 0.004179296899298854 0.0035785213325758166 0.004122723452942455 0.0 0.004249452960748157
0.027 0.003796044403869355 0.005071663771905276 0.005188999663961005 0.00411312677562114 0.003477153437556999 0.0038994660502507396 0.0 0.0040777249422858045
0.028 0.003639630285817087 0.004866771306406382 0.005040594270664338 0.004049363378711933 0.0033794724757467845 0.0036843289220494057 0.0 0.003912242981650824
0.029 0.0035093998846594727 0.004688956127452572 0.004902088749956324 0.003991968620624644 0.003343680150509434 0.0035043947505198634 0.0 0.0037736871117283292
0.03 0.003388167824597271 0.004521573759439846 0.004769318225204795 0.0039374346306454665 0.003322047797854997 0.0033366850915604465 0.0 0.0036445057849998222
0.031 0.003270911310561226 0.004359680338060921 0.004640901625741576 0.003884688966188676 0.003301124831922092 0.00317447511204117 0.0 0.0035195606834898096
0.032 0.0031590030540038306 0.004209253504567765 0.004512414821152159 0.0038114061204634286 0.0032595527727110585 0.0030515693689762667 0.0 0.0034000718087525655
0.033 0.0030531808037105126 0.004073740677879409 0.0043811391862064305 0.0037042679080757325 0.003184610199433786 0.002987970828462599 0.0 0.0032866808770918195
0.034 0.00295051790299934 0.003942273620310328 0.004253782817967434 0.0036003283336455655 0.003111905055306926 0.0029262710381818863 0.0 0.0031766752598764475
0.035 0.0028508311615205438 0.0038146177437464765 0.0041301184633819096 0.0034994019287430365 0.0030413076062133153 0.002866359901827816 0.0 0.0030698586645084994
0.036000000000000004 0.0027613467975218806 0.0036926090686196927 0.00401432852642969 0.003414204426630614 0.0029926362167930014 0.002827794066925481 0.0 0.0029732336653359535
0.037 0.002681082893461983 0.0035758208385477776 0.0039057304086251104 0.0033431370251980714 0.0029635492470582066 0.002808279714603279 0.0 0.0028858310375206994
0.038 0.002602959617365836 0.0034621473355011885 0.0038000285886084957 0.003273964982190995 0.002935238023052739 0.0027892858075393065 0.0 0.002800759426510569
0.039 0.002526865748512732 0.0033514267274424472 0.0036970725832819545 0.003206589820371013 0.002907662239314581 0.00277078530493163 0.0 0.0027178977195416714
0.04 0.0024531306542186567 0.0032438529539361863 0.0035963388991233428 0.00313952317166172 0.0028797279641024354 0.0027527666918109846 0.0 0.002637564627677777
0.041 0.0023830445205084406 0.003140388670943953 0.0034964663495881975 0.0030682011126068397 0.002848013201574382 0.0027352500199671623 0.0 0.002561037014675971
0.042 0.002314647374767873 0.0030394177474796697 0.0033990006033069006 0.002998597825773217 0.002817062725068867 0.002718155477957659 0.0 0.0024863536212203735
0.043000000000000003 0.0022478597239381907 0.0029408228323371107 0.003303828382887334 0.0029306324162913814 0.002786840563084172 0.0027014631980319154 0.0 0.0024134276482008624
0.044 0.0021826075582415225 0.002844494668974492 0.003210844224597798 0.0028642295692672508 0.002757313225364734 0.002685154682879216 0.0 0.002342178283745829
0.045 0.002120478040185252 0.0027572702365385865 0.003126114300232611 0.0028012003591785283 0.0027189992480351494 0.0026475060711394745 0.0 0.002274929430061163
0.046 0.0020630153388325797 0.002685794035328368 0.0030555342990219755 0.0027433064844157597 0.0026626905198820325 0.002567417782773746 0.0 0.002213941082126237
0.047 0.0020067884908071105 0.002615855076520707 0.0029864722655936226 0.0026866577362493335 0.0026075928264941697 0.0024890519574200134 0.0 0.0021542644137842295
0.048 0.0019517454542870825 0.002547388626790529 0.0029188642782772656 0.0026312016823598293 0.0025536551711600923 0.002412336062107642 0.0 0.0020958441901669364
0.049 0.0018978374070035395 0.0024803339575218647 0.0028526503698990233 0.002576889134138626 0.0025008297120658178 0.002337202051097968 0.0 0.0020386285934959475
0.05 0.0018450184860281983 0.002414634021137633 0.002787774208169354 0.0025236738845233948 0.0024490715073081978 0.002263586003215485 0.0 0.001982568946905051
0.051000000000000004 0.0018037689940305554 0.002357124709805068 0.0027300136453297613 0.002476452153828162 0.002410856149246913 0.0022380736621925392 0.0 0.0019372092765422252
0.052000000000000005 0.001764724525734846 0.002301651342045952 0.002674152654168394 0.0024308064484971515 0.0023750529870427135 0.0022192801159846374 0.0 0.001894009881622518
0.053 0.0017264238070081458 0.0022472346743819746 0.002619355746855864 0.002386030238261072 0.002339931831474066 0.0022008445639434336 0.0 0.0018516333825637477
0.054 0.0016888390316526834 0.0021938352004886204 0.0025655831410149525 0.002342091015736288 0.0023054671846957308 0.002182753621917892 0.0 0.0018100490141648175
